0-25i	-2 - 31i
5 - 17i	-4 - 5i
-1 - 12i	6 - 1i
-14 - 2i	-9 - 2i
-4 + 9i	6 + 0i
2 + 0i	-5 - 12i
-7 - 4i	3 + 10i
16 + 0i	-1 - 8i
1 - 13i	0 - 4i
-9 - 49i	-6 - 45i
-20 - 58i	-19 - 53i
-30 - 62i	-34 - 69i
-18 - 64i	-18 - 76i
-6 - 63i	-8 - 70i
-7 - 44i	-4 - 40i
-25 - 18i	-22 - 26i
-13 - 9i	-17 - 6i
-13 - 9i	-1 - 18i
-12 - 2i	-6 - 8i
-25 + 0i	-28 - 7i
-12 - 14i	-10 - 10i
-2 - 21i	-20 - 16i
11 - 16i	3 - 9i
0 - 15i	2 - 13i
2 + 7i	-5 - 11i
1 - 19i	0 - 17i
11 - 18i	-4 - 1i
-4 - 10i	0 - 7i
5 + 2i	1 + 1i
-1 - 7i	7 - 7i
8 + 0i	17 - 4i
3 - 6i	4 + 4i
4 + 6i	-1 - 5i
19 + 5i	13 + 3i
12 - 10i	11 - 1i
-4 - 2i	-3 - 13i
-10 + 0i	-8 + 6i
3 + 4i	9 + 0i
10 + 0i	-6 - 9i
-2 + 7i	-5 + 0i
-8 + 3i	-16 - 7i
-4 + 5i	9 - 4i
10 - 3i	5 - 6i
2 - 2i	-4 + 0i
-5 + 0i	0 - 3i
1 + 1i	-4 + 3i
-11 + 1i	0 + 1i
-1 - 1i	-4 - 6i
-5 + 1i	8 + 0i
1 - 6i	0 - 9i
-1 - 5i	9 - 2i
4 + 4i	-7 + 8i
7 - 1i	-1 - 1i
-2 + 0i	5 + 4i
11 - 1i	9 - 2i
4 + 0i	-2 + 0i
-12 + 3i	1 + 5i
5 + 2i	-5 + 7i
11 + 0i	13 + 2i
-10 + 3i	0 + 2i
0 - 7i	9 + 3i
2 - 3i	5 - 12i
4 + 2i	9 - 7i
3 + 16i	4 - 4i
-9 + 0i	-3 + 11i
9 + 4i	-2 - 11i
11 - 5i	1 + 6i
-1 + 4i	-2 + 4i
-4 + 10i	5 + 9i
-1 + 6i	2 + 2i
7 + 8i	20 + 1i
1 + 7i	-5 + 3i
-2 + 4i	-8 - 3i
2 - 24i	3 + 8i
10 - 15i	1 + 0i
3 + 1i	10 + 2i
-9 + 2i	2 - 3i
8 - 9i	7 - 1i
5 - 7i	26 + 2i
16 - 7i	9 - 15i
-2 + 3i	-6 + 22i
8 + 10i	10 + 3i
4 + 7i	11 + 9i
5 + 15i	10 + 23i
3 - 4i	1 + 1i
-5 + 2i	-5 + 2i
9 - 3i	0 + 3i
-8 + 0i	5 + 0i
-9 + 2i	-1 + 8i
9 + 0i	2 - 5i
15 - 3i	2 - 8i
8 + 2i	-4 + 14i
-4 + 9i	-9 - 6i
1 - 5i	-10 - 3i
0 + 2i	3 - 1i
-7 + 7i	4 - 7i
1 + 5i	-6 - 1i
1 + 3i	-4 - 4i
9 - 7i	-7 + 2i
-1 + 10i	8 + 2i
-1 + 7i	-1 - 6i
4 + 0i	-3 + 3i
5 + 5i	1 + 1i
-1 + 7i	-8 - 6i
-5 - 2i	0 - 6i
11 + 0i	-7 - 4i
1 - 2i	5 + 3i
3 - 22i	1 + 5i
-5 - 11i	7 - 6i
3 - 2i	-13 - 1i
-3 + 0i	15 - 4i
2 + 0i	0 + 15i
-6 - 6i	-5 - 8i
-7 - 7i	-13 + 8i
3 + 3i	-10 + 0i
-17 + 9i	-21 + 11i
-13 + 22i	-23 + 9i
-14 - 7i	-24 + 15i
